,_id,uname,url,loc,uid,sname,descr,nfans,nfri
24,5f00682a3a00fe430be0a6e3,Addy Baird,https://twitter.com/addysbaird/,"Washington, DC",391724938,addysbaird,,-1,-1
25,5eeb87c7e836a1a3ebdddc80,Caroline O'Donovan,https://twitter.com/ceodonovan/,Northern Cali / Silicon Valley,415798356,ceodonovan,BuzzFeed tech reporter. Labor & the human condition. Caroline.odonovan@buzzfeed.com. DM to chat on Signal.,10439,3606
26,5eec121be836a1a3eb0b2393,Ryan Mac🙃,https://twitter.com/RMac18/,"If you were there, beware",47191293,RMac18,senior tech reporter @BuzzFeedNews. ryan.mac@buzzfeed.com & rmac18@protonmail.com. DMs open. On Signal--ask for my number,50318,3954
27,5eeb864fe836a1a3ebdd1f04,Brandon,https://twitter.com/bborrman/,"Oakland, CA",47454782,bborrman,"Comms at Twitter. Loyal cynic. Ok, only sometimes loyal.",5399,1800
28,5eefee049dcbfcb006eaf37f,Krystie Lee Yandoli,https://twitter.com/KrystieLYandoli/,"Los Angeles, CA",47545224,KrystieLYandoli,,-1,-1
29,5eec3c5de836a1a3eb1649a7,Caroline Haskins,https://twitter.com/caro1inehaskins/,NYC,532672756,caro1inehaskins,tech reporter for BuzzFeed News • caroline.haskins@buzzfeed.com + caroline.haskins@protonmail.com • Signal: +1 (785) 813-1084 • she/her,6990,1165
30,5eeb8b5ae836a1a3ebdf9db5,Dan Gillmor,https://twitter.com/dangillmor/,"California, Arizona, etc.",6267962,dangillmor,Bio and disclosures: http://dangillmor.com/about . Retweets mean I think you should see this -- usually but not always an endorsement.,46336,1880
31,5eeb7882e836a1a3ebd6a9c6,Jane Lytvynenko,https://twitter.com/JaneLytv/,"Toronto, Canada",65284273,JaneLytv,"senior reporter with focus on disinfo, online investigations • send tips, leaks, observations, gifs: jane.lytvynenko@buzzfeed.com • DMs open, Signal on request",54830,5526
32,5eeb135eed61c6c93739e56f,The New York Times,https://twitter.com/nytimes/,New York City,807095,nytimes,News tips? Share them here: https://t.co/ghL9OoYKMM,47803013,899
33,5eeb95bee836a1a3ebe42bc5,Reckon,https://twitter.com/reckonalabama/,"Alabama, USA",888112246907256832,reckonalabama,,-1,-1
34,5eeb64b0e836a1a3ebcb8bee,Maggie Haberman,https://twitter.com/maggieNYT/,,93069110,maggieNYT,"White House correspondent for NYTimes, analyst for CNN. RTs don't imply agreement. maggie.haberman@nytimes.com",1542409,4629
35,5eeb7356e836a1a3ebd41565,William Turton,https://twitter.com/WilliamTurton/,"731 Lexington Ave, NYC",99012883,WilliamTurton,Covering hackers and cybersecurity at Bloomberg @technology. wturton1@bloomberg.net,11706,3607
